model,split,acc,prec,rec,f1,auc
SVM_kmer,train,0.9228187919463087,0.9228187919463087,1.0,0.9598603839441536,1.0
SVM_kmer,val,0.9563758389261745,0.9563758389261745,1.0,0.9777015437392796,0.9190283400809717
SVM_kmer,test,0.9194630872483222,0.9225589225589226,0.9963636363636363,0.958041958041958,0.7743873517786563
SVM_onehot,train,1.0,1.0,1.0,1.0,1.0
SVM_onehot,val,0.9765100671140939,0.9793103448275862,0.9964912280701754,0.9878260869565217,0.7622132253711201
SVM_onehot,test,0.9228187919463087,0.9344827586206896,0.9854545454545455,0.95929203539823,0.7560474308300394
QSVM_kernel,train,0.9228187919463087,0.9228187919463087,1.0,0.9598603839441536,0.9839964866051824
QSVM_kernel,val,0.9563758389261745,0.9563758389261745,1.0,0.9777015437392796,0.7959514170040486
QSVM_kernel,test,0.9228187919463087,0.9228187919463087,1.0,0.9598603839441536,0.7875098814229249
VQC,train,0.772930648769575,0.9355742296918768,0.8096969696969697,0.8680961663417803,0.6025472112428635
VQC,val,0.7449664429530202,0.9523809523809523,0.7719298245614035,0.8527131782945736,0.5543859649122806
VQC,test,0.7315436241610739,0.922077922077922,0.7745454545454545,0.841897233201581,0.5397628458498024
