accession,organism,type,start,end,length,strand,label
NC_023792,Azadirachta indica,tRNA,0,73,73,-1,0
NC_023792,Azadirachta indica,CDS,539,1601,1062,-1,1
NC_023792,Azadirachta indica,tRNA,1869,4447,2578,-1,0
NC_023792,Azadirachta indica,CDS,2168,3692,1524,-1,1
NC_023792,Azadirachta indica,CDS,5447,6590,1143,-1,1
NC_023792,Azadirachta indica,tRNA,8329,8401,72,-1,0
NC_023792,Azadirachta indica,CDS,8754,8940,186,1,1
NC_023792,Azadirachta indica,CDS,9315,9426,111,1,1
NC_023792,Azadirachta indica,tRNA,9566,9654,88,-1,0
NC_023792,Azadirachta indica,tRNA,10452,11242,790,1,0
NC_023792,Azadirachta indica,tRNA,11404,11476,72,1,0
NC_023792,Azadirachta indica,CDS,11681,13199,1518,-1,1
NC_023792,Azadirachta indica,CDS,13253,14586,1333,-1,1
NC_023792,Azadirachta indica,CDS,15053,15299,246,-1,1
NC_023792,Azadirachta indica,CDS,16517,17261,744,-1,1
NC_023792,Azadirachta indica,CDS,17489,18200,711,-1,1
NC_023792,Azadirachta indica,CDS,18410,22598,4188,-1,1
NC_023792,Azadirachta indica,CDS,22776,25603,2827,-1,1
NC_023792,Azadirachta indica,CDS,25629,28842,3213,-1,1
NC_023792,Azadirachta indica,tRNA,30061,30142,81,1,0
NC_023792,Azadirachta indica,CDS,30842,30932,90,1,1
NC_023792,Azadirachta indica,CDS,32244,32349,105,-1,1
NC_023792,Azadirachta indica,tRNA,32873,32947,74,-1,0
NC_023792,Azadirachta indica,tRNA,33393,33477,84,-1,0
NC_023792,Azadirachta indica,tRNA,33536,33609,73,-1,0
NC_023792,Azadirachta indica,tRNA,34413,34485,72,1,0
NC_023792,Azadirachta indica,CDS,35740,36802,1062,1,1
NC_023792,Azadirachta indica,CDS,36749,38171,1422,1,1
NC_023792,Azadirachta indica,tRNA,38417,38510,93,-1,0
NC_023792,Azadirachta indica,CDS,38877,39066,189,1,1
NC_023792,Azadirachta indica,tRNA,39609,39680,71,1,0
NC_023792,Azadirachta indica,tRNA,39841,39915,74,-1,0
NC_023792,Azadirachta indica,CDS,40077,40380,303,-1,1
NC_023792,Azadirachta indica,CDS,40528,42733,2205,-1,1
NC_023792,Azadirachta indica,CDS,42758,45011,2253,-1,1
NC_023792,Azadirachta indica,CDS,45666,47674,2008,-1,1
NC_023792,Azadirachta indica,tRNA,48548,48635,87,1,0
NC_023792,Azadirachta indica,CDS,48927,49533,606,-1,1
NC_023792,Azadirachta indica,tRNA,49876,49949,73,-1,0
NC_023792,Azadirachta indica,tRNA,50983,51591,608,1,0
NC_023792,Azadirachta indica,tRNA,51967,52040,73,1,0
NC_023792,Azadirachta indica,CDS,52468,52945,477,-1,1
NC_023792,Azadirachta indica,CDS,53058,53742,684,-1,1
NC_023792,Azadirachta indica,CDS,53807,54170,363,-1,1
NC_023792,Azadirachta indica,tRNA,55116,55793,677,-1,0
NC_023792,Azadirachta indica,tRNA,55979,56051,72,1,0
NC_023792,Azadirachta indica,CDS,56296,56698,402,-1,1
NC_023792,Azadirachta indica,CDS,56694,58191,1497,-1,1
NC_023792,Azadirachta indica,CDS,58946,60374,1428,1,1
NC_023792,Azadirachta indica,CDS,60941,62429,1488,1,1
NC_023792,Azadirachta indica,CDS,63169,63283,114,1,1
NC_023792,Azadirachta indica,CDS,63699,64254,555,1,1
NC_023792,Azadirachta indica,CDS,65195,65894,699,1,1
NC_023792,Azadirachta indica,CDS,66119,67082,963,1,1
NC_023792,Azadirachta indica,CDS,67857,67980,123,-1,1
NC_023792,Azadirachta indica,CDS,68125,68242,117,-1,1
NC_023792,Azadirachta indica,CDS,68264,68384,120,-1,1
NC_023792,Azadirachta indica,CDS,68393,68645,252,-1,1
NC_023792,Azadirachta indica,CDS,70065,70161,96,1,1
NC_023792,Azadirachta indica,CDS,70330,70444,114,1,1
NC_023792,Azadirachta indica,tRNA,70588,70661,73,-1,0
NC_023792,Azadirachta indica,tRNA,70846,70920,74,-1,0
NC_023792,Azadirachta indica,CDS,71280,71415,135,1,1
NC_023792,Azadirachta indica,CDS,71880,72081,201,1,1
NC_023792,Azadirachta indica,CDS,72294,72600,306,1,1
NC_023792,Azadirachta indica,CDS,72859,73213,354,-1,1
NC_023792,Azadirachta indica,CDS,73987,103218,29231,-1,1
NC_023792,Azadirachta indica,CDS,73987,145899,71912,1,1
NC_023792,Azadirachta indica,CDS,74251,76334,2083,-1,1
NC_023792,Azadirachta indica,CDS,76745,78272,1527,1,1
NC_023792,Azadirachta indica,CDS,78456,78558,102,1,1
NC_023792,Azadirachta indica,CDS,78623,78755,132,-1,1
NC_023792,Azadirachta indica,CDS,78859,79081,222,1,1
NC_023792,Azadirachta indica,CDS,79195,80666,1471,1,1
NC_023792,Azadirachta indica,CDS,81589,82114,525,1,1
NC_023792,Azadirachta indica,CDS,82382,83360,978,-1,1
NC_023792,Azadirachta indica,CDS,83424,83847,423,-1,1
NC_023792,Azadirachta indica,CDS,83964,84078,114,-1,1
NC_023792,Azadirachta indica,CDS,84563,84968,405,-1,1
NC_023792,Azadirachta indica,CDS,85129,85498,369,-1,1
NC_023792,Azadirachta indica,CDS,85629,87072,1443,-1,1
NC_023792,Azadirachta indica,CDS,87219,87879,660,-1,1
NC_023792,Azadirachta indica,CDS,87863,88349,486,-1,1
NC_023792,Azadirachta indica,CDS,88394,88673,279,-1,1
NC_023792,Azadirachta indica,CDS,88741,90236,1495,-1,1
NC_023792,Azadirachta indica,CDS,90254,90536,282,-1,1
NC_023792,Azadirachta indica,tRNA,90701,90775,74,-1,0
NC_023792,Azadirachta indica,CDS,90863,97691,6828,1,1
NC_023792,Azadirachta indica,tRNA,98701,98782,81,-1,0
NC_023792,Azadirachta indica,CDS,99372,101586,2214,-1,1
NC_023792,Azadirachta indica,CDS,101901,102369,468,-1,1
NC_023792,Azadirachta indica,tRNA,105060,105132,72,1,0
NC_023792,Azadirachta indica,rRNA,105372,106863,1491,1,0
NC_023792,Azadirachta indica,tRNA,107157,108188,1031,1,0
NC_023792,Azadirachta indica,tRNA,108258,109133,875,1,0
NC_023792,Azadirachta indica,rRNA,109296,112106,2810,1,0
NC_023792,Azadirachta indica,rRNA,112204,112307,103,1,0
NC_023792,Azadirachta indica,rRNA,112563,112684,121,1,0
NC_023792,Azadirachta indica,tRNA,112935,113009,74,1,0
NC_023792,Azadirachta indica,tRNA,113613,113685,72,-1,0
NC_023792,Azadirachta indica,CDS,114038,115121,1083,1,1
NC_023792,Azadirachta indica,CDS,115082,117320,2238,-1,1
NC_023792,Azadirachta indica,CDS,118303,118462,159,1,1
NC_023792,Azadirachta indica,tRNA,119562,119642,80,1,0
NC_023792,Azadirachta indica,CDS,119746,120706,960,1,1
NC_023792,Azadirachta indica,CDS,120999,122526,1527,-1,1
NC_023792,Azadirachta indica,CDS,122658,122904,246,-1,1
NC_023792,Azadirachta indica,CDS,123137,123443,306,-1,1
NC_023792,Azadirachta indica,CDS,123684,124221,537,-1,1
NC_023792,Azadirachta indica,CDS,124600,125104,504,-1,1
NC_023792,Azadirachta indica,CDS,125192,127423,2231,-1,1
NC_023792,Azadirachta indica,CDS,127424,128606,1182,-1,1
NC_023792,Azadirachta indica,CDS,128709,128982,273,-1,1
NC_023792,Azadirachta indica,CDS,129358,134836,5478,-1,1
NC_023792,Azadirachta indica,tRNA,135189,135261,72,1,0
NC_023792,Azadirachta indica,tRNA,135865,135939,74,-1,0
NC_023792,Azadirachta indica,rRNA,136190,136311,121,-1,0
NC_023792,Azadirachta indica,rRNA,136567,136670,103,-1,0
NC_023792,Azadirachta indica,rRNA,136768,139578,2810,-1,0
NC_023792,Azadirachta indica,tRNA,139741,140616,875,-1,0
NC_023792,Azadirachta indica,tRNA,140686,141717,1031,-1,0
NC_023792,Azadirachta indica,rRNA,142011,143502,1491,-1,0
NC_023792,Azadirachta indica,tRNA,143742,143814,72,-1,0
NC_023792,Azadirachta indica,CDS,146505,146973,468,1,1
NC_023792,Azadirachta indica,CDS,147288,149502,2214,1,1
NC_023792,Azadirachta indica,tRNA,150092,150173,81,1,0
NC_023792,Azadirachta indica,CDS,151183,158011,6828,-1,1
NC_023792,Azadirachta indica,tRNA,158099,158173,74,1,0
NC_023792,Azadirachta indica,CDS,158338,158620,282,1,1
NC_023792,Azadirachta indica,CDS,158638,160133,1495,1,1
NC_023792,Azadirachta indica,CDS,160201,160480,279,1,1
