accession,organism,type,start,end,length,strand,label
KY923074,Entandrophragma cylindricum,tRNA,3,78,75,-1,0
KY923074,Entandrophragma cylindricum,CDS,539,1601,1062,-1,1
KY923074,Entandrophragma cylindricum,tRNA,1866,4478,2612,-1,0
KY923074,Entandrophragma cylindricum,CDS,2206,3724,1518,-1,1
KY923074,Entandrophragma cylindricum,CDS,5357,6487,1130,-1,1
KY923074,Entandrophragma cylindricum,tRNA,8124,8196,72,-1,0
KY923074,Entandrophragma cylindricum,CDS,8550,8736,186,1,1
KY923074,Entandrophragma cylindricum,CDS,9105,9216,111,1,1
KY923074,Entandrophragma cylindricum,tRNA,9358,9446,88,-1,0
KY923074,Entandrophragma cylindricum,tRNA,10216,11015,799,1,0
KY923074,Entandrophragma cylindricum,tRNA,11182,11254,72,1,0
KY923074,Entandrophragma cylindricum,CDS,11469,12987,1518,-1,1
KY923074,Entandrophragma cylindricum,CDS,13044,14375,1331,-1,1
KY923074,Entandrophragma cylindricum,CDS,14837,15083,246,-1,1
KY923074,Entandrophragma cylindricum,CDS,16281,17025,744,-1,1
KY923074,Entandrophragma cylindricum,CDS,17254,17965,711,-1,1
KY923074,Entandrophragma cylindricum,CDS,18166,22360,4194,-1,1
KY923074,Entandrophragma cylindricum,CDS,22543,25350,2807,-1,1
KY923074,Entandrophragma cylindricum,CDS,25376,28589,3213,-1,1
KY923074,Entandrophragma cylindricum,tRNA,29649,29720,71,1,0
KY923074,Entandrophragma cylindricum,CDS,30453,30543,90,1,1
KY923074,Entandrophragma cylindricum,CDS,31628,31733,105,-1,1
KY923074,Entandrophragma cylindricum,tRNA,32277,32351,74,-1,0
KY923074,Entandrophragma cylindricum,tRNA,32814,32898,84,-1,0
KY923074,Entandrophragma cylindricum,tRNA,32957,33030,73,-1,0
KY923074,Entandrophragma cylindricum,tRNA,33834,33906,72,1,0
KY923074,Entandrophragma cylindricum,CDS,35134,36196,1062,1,1
KY923074,Entandrophragma cylindricum,CDS,36179,37565,1386,1,1
KY923074,Entandrophragma cylindricum,tRNA,37804,37897,93,-1,0
KY923074,Entandrophragma cylindricum,CDS,38234,38423,189,1,1
KY923074,Entandrophragma cylindricum,tRNA,39017,39088,71,1,0
KY923074,Entandrophragma cylindricum,tRNA,39256,39330,74,-1,0
KY923074,Entandrophragma cylindricum,CDS,39491,39794,303,-1,1
KY923074,Entandrophragma cylindricum,CDS,39937,42142,2205,-1,1
KY923074,Entandrophragma cylindricum,CDS,42167,44420,2253,-1,1
KY923074,Entandrophragma cylindricum,CDS,45061,47097,2036,-1,1
KY923074,Entandrophragma cylindricum,tRNA,47978,48065,87,1,0
KY923074,Entandrophragma cylindricum,CDS,48360,48966,606,-1,1
KY923074,Entandrophragma cylindricum,tRNA,49336,49409,73,-1,0
KY923074,Entandrophragma cylindricum,tRNA,50385,50996,611,1,0
KY923074,Entandrophragma cylindricum,tRNA,51366,51439,73,1,0
KY923074,Entandrophragma cylindricum,CDS,51838,52315,477,-1,1
KY923074,Entandrophragma cylindricum,CDS,52428,53112,684,-1,1
KY923074,Entandrophragma cylindricum,CDS,53178,53541,363,-1,1
KY923074,Entandrophragma cylindricum,tRNA,54443,55111,668,-1,0
KY923074,Entandrophragma cylindricum,tRNA,55301,55374,73,1,0
KY923074,Entandrophragma cylindricum,CDS,55625,56027,402,-1,1
KY923074,Entandrophragma cylindricum,CDS,56023,57520,1497,-1,1
KY923074,Entandrophragma cylindricum,CDS,58304,59732,1428,1,1
KY923074,Entandrophragma cylindricum,CDS,60286,61762,1476,1,1
KY923074,Entandrophragma cylindricum,CDS,62484,62598,114,1,1
