accession,organism,type,start,end,length,strand,label
MK058684,Khaya madagascariensis,tRNA,113,188,75,-1,0
MK058684,Khaya madagascariensis,CDS,510,1572,1062,-1,1
MK058684,Khaya madagascariensis,tRNA,1844,4445,2601,-1,0
MK058684,Khaya madagascariensis,CDS,2170,3607,1437,-1,1
MK058684,Khaya madagascariensis,CDS,5293,6379,1086,-1,1
MK058684,Khaya madagascariensis,tRNA,7353,7425,72,-1,0
MK058684,Khaya madagascariensis,CDS,7779,7965,186,1,1
MK058684,Khaya madagascariensis,CDS,8329,8440,111,1,1
MK058684,Khaya madagascariensis,tRNA,8600,8688,88,-1,0
MK058684,Khaya madagascariensis,tRNA,9252,10038,786,1,0
MK058684,Khaya madagascariensis,tRNA,10226,10298,72,1,0
MK058684,Khaya madagascariensis,CDS,10552,12070,1518,-1,1
MK058684,Khaya madagascariensis,CDS,12124,13504,1380,-1,1
MK058684,Khaya madagascariensis,CDS,13966,14212,246,-1,1
MK058684,Khaya madagascariensis,CDS,15415,16159,744,-1,1
MK058684,Khaya madagascariensis,CDS,16388,17099,711,-1,1
MK058684,Khaya madagascariensis,CDS,17297,21497,4200,-1,1
MK058684,Khaya madagascariensis,CDS,21680,24433,2753,-1,1
MK058684,Khaya madagascariensis,CDS,24459,27672,3213,-1,1
MK058684,Khaya madagascariensis,tRNA,28725,28806,81,1,0
MK058684,Khaya madagascariensis,CDS,29371,29467,96,1,1
MK058684,Khaya madagascariensis,CDS,30520,30634,114,-1,1
MK058684,Khaya madagascariensis,tRNA,31594,31668,74,-1,0
MK058684,Khaya madagascariensis,tRNA,32145,32229,84,-1,0
MK058684,Khaya madagascariensis,tRNA,32288,32361,73,-1,0
MK058684,Khaya madagascariensis,tRNA,33169,33241,72,1,0
MK058684,Khaya madagascariensis,tRNA,33175,33234,59,1,0
MK058684,Khaya madagascariensis,CDS,34657,35719,1062,1,1
MK058684,Khaya madagascariensis,CDS,35666,37088,1422,1,1
MK058684,Khaya madagascariensis,tRNA,37327,37420,93,-1,0
