accession,organism,type,start,end,length,strand,label
MH330687,Xylocarpus rumphii,tRNA,2,77,75,-1,0
MH330687,Xylocarpus rumphii,CDS,528,1590,1062,-1,1
MH330687,Xylocarpus rumphii,tRNA,1862,4466,2604,-1,0
MH330687,Xylocarpus rumphii,CDS,2191,3709,1518,-1,1
MH330687,Xylocarpus rumphii,CDS,5329,6471,1142,-1,1
MH330687,Xylocarpus rumphii,tRNA,7871,7943,72,-1,0
MH330687,Xylocarpus rumphii,CDS,8310,8496,186,1,1
MH330687,Xylocarpus rumphii,CDS,8862,8973,111,1,1
MH330687,Xylocarpus rumphii,tRNA,9115,9203,88,-1,0
MH330687,Xylocarpus rumphii,tRNA,9989,10788,799,1,0
MH330687,Xylocarpus rumphii,tRNA,10943,11015,72,1,0
MH330687,Xylocarpus rumphii,CDS,11061,12582,1521,-1,1
MH330687,Xylocarpus rumphii,CDS,12637,13951,1314,-1,1
MH330687,Xylocarpus rumphii,CDS,14426,14672,246,-1,1
MH330687,Xylocarpus rumphii,CDS,15868,16612,744,-1,1
MH330687,Xylocarpus rumphii,CDS,16869,17571,702,-1,1
MH330687,Xylocarpus rumphii,CDS,17769,21963,4194,-1,1
MH330687,Xylocarpus rumphii,CDS,22146,24958,2812,-1,1
MH330687,Xylocarpus rumphii,CDS,24984,28197,3213,-1,1
MH330687,Xylocarpus rumphii,tRNA,29253,29334,81,1,0
MH330687,Xylocarpus rumphii,CDS,30046,30136,90,1,1
MH330687,Xylocarpus rumphii,CDS,31222,31336,114,-1,1
MH330687,Xylocarpus rumphii,tRNA,31883,31957,74,-1,0
MH330687,Xylocarpus rumphii,tRNA,32440,32524,84,-1,0
MH330687,Xylocarpus rumphii,tRNA,32583,32656,73,-1,0
MH330687,Xylocarpus rumphii,tRNA,33490,33562,72,1,0
MH330687,Xylocarpus rumphii,CDS,34842,35904,1062,1,1
MH330687,Xylocarpus rumphii,CDS,35851,37273,1422,1,1
MH330687,Xylocarpus rumphii,tRNA,37512,37605,93,-1,0
MH330687,Xylocarpus rumphii,CDS,37953,38142,189,1,1
MH330687,Xylocarpus rumphii,tRNA,38670,38741,71,1,0
MH330687,Xylocarpus rumphii,tRNA,38913,38987,74,-1,0
MH330687,Xylocarpus rumphii,CDS,39149,39452,303,-1,1
MH330687,Xylocarpus rumphii,CDS,39595,41800,2205,-1,1
MH330687,Xylocarpus rumphii,CDS,41825,44078,2253,-1,1
MH330687,Xylocarpus rumphii,CDS,44763,46805,2042,-1,1
MH330687,Xylocarpus rumphii,tRNA,47686,47773,87,1,0
MH330687,Xylocarpus rumphii,CDS,48074,48680,606,-1,1
MH330687,Xylocarpus rumphii,tRNA,49053,49126,73,-1,0
MH330687,Xylocarpus rumphii,tRNA,50105,50722,617,1,0
