accession,organism,type,start,end,length,strand,label
MG813875,Toona ciliata,tRNA,4,77,73,-1,0
MG813875,Toona ciliata,CDS,519,1581,1062,-1,1
MG813875,Toona ciliata,tRNA,1846,4441,2595,-1,0
MG813875,Toona ciliata,CDS,2168,3686,1518,-1,1
MG813875,Toona ciliata,CDS,5225,6356,1131,-1,1
MG813875,Toona ciliata,tRNA,7965,8037,72,-1,0
MG813875,Toona ciliata,CDS,8390,8576,186,1,1
MG813875,Toona ciliata,CDS,8944,9055,111,1,1
MG813875,Toona ciliata,tRNA,9191,9279,88,-1,0
MG813875,Toona ciliata,tRNA,10070,10864,794,1,0
MG813875,Toona ciliata,tRNA,11019,11091,72,1,0
MG813875,Toona ciliata,CDS,11287,12805,1518,-1,1
MG813875,Toona ciliata,CDS,12862,14187,1325,-1,1
MG813875,Toona ciliata,CDS,14664,14910,246,-1,1
MG813875,Toona ciliata,CDS,16129,16873,744,-1,1
MG813875,Toona ciliata,CDS,17107,17818,711,-1,1
MG813875,Toona ciliata,CDS,18014,22208,4194,-1,1
MG813875,Toona ciliata,CDS,22391,25198,2807,-1,1
MG813875,Toona ciliata,CDS,25224,28437,3213,-1,1
MG813875,Toona ciliata,tRNA,29496,29577,81,1,0
MG813875,Toona ciliata,CDS,30280,30370,90,1,1
MG813875,Toona ciliata,CDS,31495,31600,105,-1,1
MG813875,Toona ciliata,tRNA,32155,32229,74,-1,0
MG813875,Toona ciliata,tRNA,32685,32769,84,-1,0
MG813875,Toona ciliata,tRNA,32828,32901,73,-1,0
MG813875,Toona ciliata,tRNA,33706,33778,72,1,0
MG813875,Toona ciliata,tRNA,33712,33771,59,1,0
MG813875,Toona ciliata,CDS,35020,36082,1062,1,1
MG813875,Toona ciliata,CDS,36020,37451,1431,1,1
MG813875,Toona ciliata,tRNA,37688,37780,92,-1,0
MG813875,Toona ciliata,CDS,38133,38322,189,1,1
MG813875,Toona ciliata,tRNA,38862,38933,71,1,0
MG813875,Toona ciliata,tRNA,39102,39176,74,-1,0
MG813875,Toona ciliata,CDS,39338,39641,303,-1,1
MG813875,Toona ciliata,CDS,39787,41992,2205,-1,1
MG813875,Toona ciliata,CDS,42017,44270,2253,-1,1
MG813875,Toona ciliata,CDS,44922,46946,2024,-1,1
MG813875,Toona ciliata,tRNA,47822,47909,87,1,0
MG813875,Toona ciliata,CDS,48210,48816,606,-1,1
MG813875,Toona ciliata,tRNA,49175,49248,73,-1,0
MG813875,Toona ciliata,tRNA,50205,50810,605,1,0
MG813875,Toona ciliata,tRNA,51181,51254,73,1,0
MG813875,Toona ciliata,CDS,51725,52202,477,-1,1
MG813875,Toona ciliata,CDS,52332,53016,684,-1,1
MG813875,Toona ciliata,CDS,53073,53436,363,-1,1
MG813875,Toona ciliata,tRNA,54343,55018,675,-1,0
MG813875,Toona ciliata,tRNA,55211,55283,72,1,0
MG813875,Toona ciliata,tRNA,55216,55275,59,1,0
MG813875,Toona ciliata,CDS,55534,55936,402,-1,1
MG813875,Toona ciliata,CDS,55932,57429,1497,-1,1
MG813875,Toona ciliata,CDS,58209,59637,1428,1,1
MG813875,Toona ciliata,CDS,60198,61674,1476,1,1
MG813875,Toona ciliata,CDS,62338,62452,114,1,1
MG813875,Toona ciliata,CDS,62884,63439,555,1,1
MG813875,Toona ciliata,CDS,64381,65080,699,1,1
MG813875,Toona ciliata,CDS,65299,66262,963,1,1
MG813875,Toona ciliata,CDS,67315,67438,123,-1,1
MG813875,Toona ciliata,CDS,67580,67697,117,-1,1
MG813875,Toona ciliata,CDS,67719,67839,120,-1,1
MG813875,Toona ciliata,CDS,67848,68100,252,-1,1
MG813875,Toona ciliata,CDS,69380,69476,96,1,1
MG813875,Toona ciliata,CDS,69643,69757,114,1,1
MG813875,Toona ciliata,tRNA,69898,69972,74,-1,0
MG813875,Toona ciliata,tRNA,70147,70221,74,-1,0
MG813875,Toona ciliata,tRNA,70149,70220,71,-1,0
MG813875,Toona ciliata,CDS,70583,70718,135,1,1
MG813875,Toona ciliata,CDS,71156,71357,201,1,1
MG813875,Toona ciliata,CDS,71550,71856,306,1,1
MG813875,Toona ciliata,CDS,72114,72468,354,-1,1
MG813875,Toona ciliata,CDS,73217,102271,29054,-1,1
MG813875,Toona ciliata,CDS,73217,145224,72007,1,1
MG813875,Toona ciliata,CDS,73482,75584,2102,-1,1
MG813875,Toona ciliata,CDS,76009,77536,1527,1,1
MG813875,Toona ciliata,CDS,77720,77828,108,1,1
MG813875,Toona ciliata,CDS,77888,78020,132,-1,1
MG813875,Toona ciliata,CDS,78124,78346,222,1,1
MG813875,Toona ciliata,CDS,78464,79926,1462,1,1
