accession,organism,type,start,end,length,strand,label
MT460410,Melia azedarach,tRNA,0,160393,160393,-1,0
MT460410,Melia azedarach,CDS,531,1593,1062,-1,1
MT460410,Melia azedarach,tRNA,1878,4488,2610,-1,0
MT460410,Melia azedarach,CDS,2177,3701,1524,-1,1
MT460410,Melia azedarach,CDS,5279,6416,1137,-1,1
MT460410,Melia azedarach,tRNA,8143,8215,72,-1,0
MT460410,Melia azedarach,CDS,8577,8763,186,1,1
MT460410,Melia azedarach,CDS,9136,9247,111,1,1
MT460410,Melia azedarach,tRNA,9389,9477,88,-1,0
MT460410,Melia azedarach,tRNA,10290,11101,811,1,0
MT460410,Melia azedarach,tRNA,11263,11335,72,1,0
MT460410,Melia azedarach,CDS,11501,13019,1518,-1,1
MT460410,Melia azedarach,CDS,13073,14401,1328,-1,1
MT460410,Melia azedarach,CDS,14854,15100,246,-1,1
MT460410,Melia azedarach,CDS,16319,17063,744,-1,1
MT460410,Melia azedarach,CDS,17291,18002,711,-1,1
MT460410,Melia azedarach,CDS,18189,22377,4188,-1,1
MT460410,Melia azedarach,CDS,22555,25383,2828,-1,1
MT460410,Melia azedarach,CDS,25409,28622,3213,-1,1
MT460410,Melia azedarach,tRNA,29849,29930,81,1,0
MT460410,Melia azedarach,CDS,30644,30734,90,1,1
MT460410,Melia azedarach,CDS,32053,32158,105,-1,1
MT460410,Melia azedarach,tRNA,32683,32757,74,-1,0
MT460410,Melia azedarach,tRNA,33214,33298,84,-1,0
MT460410,Melia azedarach,tRNA,33357,33430,73,-1,0
MT460410,Melia azedarach,tRNA,34253,34325,72,1,0
MT460410,Melia azedarach,CDS,35577,36639,1062,1,1
MT460410,Melia azedarach,CDS,36586,38008,1422,1,1
MT460410,Melia azedarach,tRNA,38255,38348,93,-1,0
MT460410,Melia azedarach,CDS,38714,38903,189,1,1
MT460410,Melia azedarach,tRNA,39425,39496,71,1,0
MT460410,Melia azedarach,tRNA,39671,39745,74,-1,0
MT460410,Melia azedarach,CDS,39907,40210,303,-1,1
MT460410,Melia azedarach,CDS,40353,42558,2205,-1,1
MT460410,Melia azedarach,CDS,42583,44836,2253,-1,1
MT460410,Melia azedarach,CDS,45491,47504,2013,-1,1
MT460410,Melia azedarach,tRNA,48383,48470,87,1,0
MT460410,Melia azedarach,CDS,48762,49368,606,-1,1
MT460410,Melia azedarach,tRNA,49718,49791,73,-1,0
MT460410,Melia azedarach,tRNA,50737,51366,629,1,0
MT460410,Melia azedarach,tRNA,51731,51804,73,1,0
MT460410,Melia azedarach,CDS,52235,52712,477,-1,1
MT460410,Melia azedarach,CDS,52825,53509,684,-1,1
MT460410,Melia azedarach,CDS,53572,53935,363,-1,1
MT460410,Melia azedarach,tRNA,54859,55528,669,-1,0
MT460410,Melia azedarach,tRNA,55714,55786,72,1,0
MT460410,Melia azedarach,CDS,56033,56435,402,-1,1
MT460410,Melia azedarach,CDS,56431,57928,1497,-1,1
MT460410,Melia azedarach,CDS,58692,60120,1428,1,1
MT460410,Melia azedarach,CDS,60710,62207,1497,1,1
MT460410,Melia azedarach,CDS,62924,63038,114,1,1
MT460410,Melia azedarach,CDS,63455,64010,555,1,1
MT460410,Melia azedarach,CDS,64926,65625,699,1,1
MT460410,Melia azedarach,CDS,65847,66810,963,1,1
MT460410,Melia azedarach,CDS,67304,67427,123,-1,1
MT460410,Melia azedarach,CDS,67572,67689,117,-1,1
MT460410,Melia azedarach,CDS,67711,67831,120,-1,1
MT460410,Melia azedarach,CDS,67840,68092,252,-1,1
MT460410,Melia azedarach,CDS,69540,69636,96,1,1
MT460410,Melia azedarach,CDS,69803,69917,114,1,1
MT460410,Melia azedarach,tRNA,70063,70134,71,-1,0
MT460410,Melia azedarach,tRNA,70319,70393,74,-1,0
MT460410,Melia azedarach,CDS,70779,70908,129,1,1
MT460410,Melia azedarach,CDS,71362,71563,201,1,1
MT460410,Melia azedarach,CDS,71821,72127,306,1,1
MT460410,Melia azedarach,CDS,72387,72741,354,-1,1
MT460410,Melia azedarach,CDS,73503,102750,29247,-1,1
MT460410,Melia azedarach,CDS,73503,146039,72536,1,1
MT460410,Melia azedarach,CDS,73761,75800,2039,-1,1
MT460410,Melia azedarach,CDS,76235,77762,1527,1,1
MT460410,Melia azedarach,CDS,77951,78053,102,1,1
MT460410,Melia azedarach,CDS,78118,78250,132,-1,1
MT460410,Melia azedarach,CDS,78354,78576,222,1,1
MT460410,Melia azedarach,CDS,78690,80161,1471,1,1
MT460410,Melia azedarach,CDS,80376,81613,1237,1,1
MT460410,Melia azedarach,CDS,81873,82857,984,-1,1
MT460410,Melia azedarach,CDS,82921,83338,417,-1,1
MT460410,Melia azedarach,CDS,83459,83573,114,-1,1
MT460410,Melia azedarach,CDS,84034,84439,405,-1,1
MT460410,Melia azedarach,CDS,84599,84968,369,-1,1
MT460410,Melia azedarach,CDS,85091,86534,1443,-1,1
MT460410,Melia azedarach,CDS,86681,87341,660,-1,1
MT460410,Melia azedarach,CDS,87325,87811,486,-1,1
MT460410,Melia azedarach,CDS,87856,88135,279,-1,1
MT460410,Melia azedarach,CDS,88203,89698,1495,-1,1
MT460410,Melia azedarach,CDS,89716,89989,273,-1,1
MT460410,Melia azedarach,tRNA,90154,90228,74,-1,0
MT460410,Melia azedarach,CDS,90316,97216,6900,1,1
MT460410,Melia azedarach,tRNA,98232,98313,81,-1,0
MT460410,Melia azedarach,CDS,98903,101117,2214,-1,1
MT460410,Melia azedarach,CDS,101431,101899,468,-1,1
MT460410,Melia azedarach,CDS,103736,103928,192,-1,1
MT460410,Melia azedarach,tRNA,104551,104623,72,1,0
MT460410,Melia azedarach,rRNA,104863,106354,1491,1,0
MT460410,Melia azedarach,tRNA,106648,107679,1031,1,0
MT460410,Melia azedarach,tRNA,107749,108662,913,1,0
MT460410,Melia azedarach,rRNA,108825,111635,2810,1,0
MT460410,Melia azedarach,rRNA,111733,111836,103,1,0
MT460410,Melia azedarach,rRNA,112092,112213,121,1,0
MT460410,Melia azedarach,tRNA,112465,112539,74,1,0
MT460410,Melia azedarach,tRNA,113157,113229,72,-1,0
MT460410,Melia azedarach,CDS,114608,116849,2241,-1,1
MT460410,Melia azedarach,CDS,117888,118047,159,1,1
MT460410,Melia azedarach,tRNA,119166,119246,80,1,0
MT460410,Melia azedarach,CDS,119352,120312,960,1,1
MT460410,Melia azedarach,CDS,120613,122113,1500,-1,1
MT460410,Melia azedarach,CDS,122277,122523,246,-1,1
MT460410,Melia azedarach,CDS,122756,123062,306,-1,1
MT460410,Melia azedarach,CDS,123305,123842,537,-1,1
MT460410,Melia azedarach,CDS,124223,124727,504,-1,1
MT460410,Melia azedarach,CDS,124809,127042,2233,-1,1
MT460410,Melia azedarach,CDS,127043,128225,1182,-1,1
MT460410,Melia azedarach,CDS,128321,128594,273,-1,1
MT460410,Melia azedarach,CDS,128961,134427,5466,-1,1
MT460410,Melia azedarach,tRNA,134762,134834,72,1,0
MT460410,Melia azedarach,tRNA,135452,135526,74,-1,0
MT460410,Melia azedarach,rRNA,135778,135899,121,-1,0
MT460410,Melia azedarach,rRNA,136155,136258,103,-1,0
MT460410,Melia azedarach,rRNA,136356,139166,2810,-1,0
MT460410,Melia azedarach,tRNA,139329,140242,913,-1,0
MT460410,Melia azedarach,tRNA,140312,141343,1031,-1,0
MT460410,Melia azedarach,rRNA,141637,143128,1491,-1,0
MT460410,Melia azedarach,tRNA,143368,143440,72,-1,0
MT460410,Melia azedarach,CDS,144063,144255,192,1,1
MT460410,Melia azedarach,CDS,146092,146560,468,1,1
MT460410,Melia azedarach,CDS,146874,149088,2214,1,1
MT460410,Melia azedarach,tRNA,149678,149759,81,1,0
MT460410,Melia azedarach,CDS,150775,157675,6900,-1,1
MT460410,Melia azedarach,tRNA,157763,157837,74,1,0
MT460410,Melia azedarach,CDS,158002,158275,273,1,1
MT460410,Melia azedarach,CDS,158293,159788,1495,1,1
MT460410,Melia azedarach,CDS,159856,160135,279,1,1
