accession,organism,type,start,end,length,strand,label
MF401522,Carapa guianensis,tRNA,3,78,75,-1,0
MF401522,Carapa guianensis,CDS,538,1600,1062,-1,1
MF401522,Carapa guianensis,tRNA,1872,4485,2613,-1,0
MF401522,Carapa guianensis,CDS,2194,3712,1518,-1,1
MF401522,Carapa guianensis,CDS,5356,6492,1136,-1,1
MF401522,Carapa guianensis,tRNA,8068,8140,72,-1,0
MF401522,Carapa guianensis,CDS,8495,8681,186,1,1
MF401522,Carapa guianensis,CDS,9047,9158,111,1,1
MF401522,Carapa guianensis,tRNA,9300,9388,88,-1,0
MF401522,Carapa guianensis,tRNA,10177,10959,782,1,0
MF401522,Carapa guianensis,tRNA,11114,11186,72,1,0
MF401522,Carapa guianensis,CDS,11377,12895,1518,-1,1
MF401522,Carapa guianensis,CDS,12948,14266,1318,-1,1
MF401522,Carapa guianensis,CDS,14753,14999,246,-1,1
MF401522,Carapa guianensis,CDS,16194,16938,744,-1,1
MF401522,Carapa guianensis,CDS,17167,17878,711,-1,1
MF401522,Carapa guianensis,CDS,18137,22271,4134,-1,1
MF401522,Carapa guianensis,CDS,22454,25266,2812,-1,1
MF401522,Carapa guianensis,CDS,25292,28505,3213,-1,1
MF401522,Carapa guianensis,tRNA,29566,29637,71,1,0
MF401522,Carapa guianensis,CDS,30361,30451,90,1,1
MF401522,Carapa guianensis,CDS,31518,31632,114,-1,1
MF401522,Carapa guianensis,tRNA,32205,32279,74,-1,0
MF401522,Carapa guianensis,tRNA,32757,32841,84,-1,0
MF401522,Carapa guianensis,tRNA,32900,32973,73,-1,0
MF401522,Carapa guianensis,tRNA,33571,33643,72,1,0
MF401522,Carapa guianensis,CDS,34883,35945,1062,1,1
MF401522,Carapa guianensis,CDS,35928,37314,1386,1,1
MF401522,Carapa guianensis,tRNA,37553,37646,93,-1,0
MF401522,Carapa guianensis,CDS,37994,38183,189,1,1
MF401522,Carapa guianensis,tRNA,38770,38841,71,1,0
MF401522,Carapa guianensis,tRNA,39012,39086,74,-1,0
MF401522,Carapa guianensis,CDS,39248,39551,303,-1,1
MF401522,Carapa guianensis,CDS,39694,41899,2205,-1,1
MF401522,Carapa guianensis,CDS,41924,44177,2253,-1,1
MF401522,Carapa guianensis,CDS,44834,46865,2031,-1,1
MF401522,Carapa guianensis,tRNA,47740,47827,87,1,0
MF401522,Carapa guianensis,CDS,48128,48734,606,-1,1
MF401522,Carapa guianensis,tRNA,49118,49191,73,-1,0
MF401522,Carapa guianensis,tRNA,50166,50781,615,1,0
MF401522,Carapa guianensis,tRNA,51151,51224,73,1,0
MF401522,Carapa guianensis,CDS,51668,52145,477,-1,1
MF401522,Carapa guianensis,CDS,52258,52942,684,-1,1
MF401522,Carapa guianensis,CDS,53000,53363,363,-1,1
MF401522,Carapa guianensis,tRNA,54277,54943,666,-1,0
MF401522,Carapa guianensis,tRNA,55133,55206,73,1,0
MF401522,Carapa guianensis,CDS,55457,55859,402,-1,1
MF401522,Carapa guianensis,CDS,55855,57352,1497,-1,1
MF401522,Carapa guianensis,CDS,58134,59562,1428,1,1
MF401522,Carapa guianensis,CDS,60114,61584,1470,1,1
MF401522,Carapa guianensis,CDS,62287,62401,114,1,1
MF401522,Carapa guianensis,CDS,62841,63396,555,1,1
MF401522,Carapa guianensis,CDS,64221,64920,699,1,1
MF401522,Carapa guianensis,CDS,65149,66112,963,1,1
MF401522,Carapa guianensis,CDS,67132,67255,123,-1,1
MF401522,Carapa guianensis,CDS,67397,67514,117,-1,1
MF401522,Carapa guianensis,CDS,67536,67656,120,-1,1
MF401522,Carapa guianensis,CDS,67665,67917,252,-1,1
MF401522,Carapa guianensis,CDS,69197,69293,96,1,1
MF401522,Carapa guianensis,CDS,69459,69573,114,1,1
MF401522,Carapa guianensis,tRNA,69714,69788,74,-1,0
MF401522,Carapa guianensis,tRNA,69957,70031,74,-1,0
MF401522,Carapa guianensis,CDS,70387,70522,135,1,1
MF401522,Carapa guianensis,CDS,70972,71173,201,1,1
MF401522,Carapa guianensis,CDS,71376,71682,306,1,1
MF401522,Carapa guianensis,CDS,71923,72277,354,-1,1
MF401522,Carapa guianensis,CDS,73028,102208,29180,-1,1
MF401522,Carapa guianensis,CDS,73028,145114,72086,1,1
MF401522,Carapa guianensis,CDS,73305,75404,2099,-1,1
MF401522,Carapa guianensis,CDS,75841,77368,1527,1,1
MF401522,Carapa guianensis,CDS,77557,77665,108,1,1
MF401522,Carapa guianensis,CDS,77725,77857,132,-1,1
