accession,organism,type,start,end,length,strand,label
MG724915.1,Cedrela odorata,tRNA,3,77,74,-1,0
MG724915.1,Cedrela odorata,CDS,524,1586,1062,-1,1
MG724915.1,Cedrela odorata,tRNA,1851,4456,2605,-1,0
MG724915.1,Cedrela odorata,CDS,2173,3691,1518,-1,1
MG724915.1,Cedrela odorata,CDS,5285,6418,1133,-1,1
MG724915.1,Cedrela odorata,tRNA,8079,8151,72,-1,0
MG724915.1,Cedrela odorata,CDS,8503,8689,186,1,1
MG724915.1,Cedrela odorata,CDS,9045,9156,111,1,1
MG724915.1,Cedrela odorata,tRNA,9292,9380,88,-1,0
MG724915.1,Cedrela odorata,tRNA,10170,10962,792,1,0
MG724915.1,Cedrela odorata,tRNA,11117,11189,72,1,0
MG724915.1,Cedrela odorata,CDS,11379,12897,1518,-1,1
MG724915.1,Cedrela odorata,CDS,12952,14279,1327,-1,1
MG724915.1,Cedrela odorata,CDS,14722,14968,246,-1,1
MG724915.1,Cedrela odorata,CDS,16180,16924,744,-1,1
MG724915.1,Cedrela odorata,CDS,17153,17870,717,-1,1
MG724915.1,Cedrela odorata,CDS,18067,22261,4194,-1,1
MG724915.1,Cedrela odorata,CDS,22444,25254,2810,-1,1
MG724915.1,Cedrela odorata,CDS,25280,28493,3213,-1,1
MG724915.1,Cedrela odorata,tRNA,29375,29446,71,1,0
MG724915.1,Cedrela odorata,CDS,30168,30258,90,1,1
MG724915.1,Cedrela odorata,CDS,31355,31460,105,-1,1
MG724915.1,Cedrela odorata,tRNA,32012,32086,74,-1,0
MG724915.1,Cedrela odorata,tRNA,32541,32625,84,-1,0
MG724915.1,Cedrela odorata,tRNA,32684,32757,73,-1,0
MG724915.1,Cedrela odorata,tRNA,33548,33620,72,1,0
MG724915.1,Cedrela odorata,CDS,34863,35925,1062,1,1
MG724915.1,Cedrela odorata,CDS,35908,37294,1386,1,1
MG724915.1,Cedrela odorata,tRNA,37535,37628,93,-1,0
MG724915.1,Cedrela odorata,CDS,37979,38168,189,1,1
MG724915.1,Cedrela odorata,tRNA,38656,38727,71,1,0
MG724915.1,Cedrela odorata,tRNA,38896,38970,74,-1,0
MG724915.1,Cedrela odorata,CDS,39132,39435,303,-1,1
MG724915.1,Cedrela odorata,CDS,39578,41783,2205,-1,1
MG724915.1,Cedrela odorata,CDS,41808,44061,2253,-1,1
MG724915.1,Cedrela odorata,CDS,44710,46753,2043,-1,1
MG724915.1,Cedrela odorata,tRNA,47211,47298,87,1,0
MG724915.1,Cedrela odorata,CDS,47601,48207,606,-1,1
MG724915.1,Cedrela odorata,tRNA,48565,48638,73,-1,0
MG724915.1,Cedrela odorata,tRNA,49528,50143,615,1,0
MG724915.1,Cedrela odorata,tRNA,50513,50586,73,1,0
MG724915.1,Cedrela odorata,CDS,51030,51507,477,-1,1
MG724915.1,Cedrela odorata,CDS,51631,52315,684,-1,1
MG724915.1,Cedrela odorata,CDS,52371,52734,363,-1,1
MG724915.1,Cedrela odorata,tRNA,53642,54317,675,-1,0
MG724915.1,Cedrela odorata,tRNA,54506,54579,73,1,0
MG724915.1,Cedrela odorata,CDS,54830,55232,402,-1,1
MG724915.1,Cedrela odorata,CDS,55228,56725,1497,-1,1
MG724915.1,Cedrela odorata,CDS,57508,58936,1428,1,1
MG724915.1,Cedrela odorata,CDS,59496,60972,1476,1,1
MG724915.1,Cedrela odorata,CDS,61645,61759,114,1,1
MG724915.1,Cedrela odorata,CDS,62187,62742,555,1,1
MG724915.1,Cedrela odorata,CDS,63675,64374,699,1,1
MG724915.1,Cedrela odorata,CDS,64574,65537,963,1,1
MG724915.1,Cedrela odorata,CDS,66591,66714,123,-1,1
MG724915.1,Cedrela odorata,CDS,66856,66973,117,-1,1
MG724915.1,Cedrela odorata,CDS,66995,67115,120,-1,1
MG724915.1,Cedrela odorata,CDS,67124,67376,252,-1,1
MG724915.1,Cedrela odorata,CDS,68651,68747,96,1,1
MG724915.1,Cedrela odorata,CDS,68914,69028,114,1,1
MG724915.1,Cedrela odorata,tRNA,69170,69244,74,-1,0
MG724915.1,Cedrela odorata,tRNA,69425,69499,74,-1,0
MG724915.1,Cedrela odorata,CDS,69853,69988,135,1,1
MG724915.1,Cedrela odorata,CDS,70421,70622,201,1,1
MG724915.1,Cedrela odorata,CDS,70821,71127,306,1,1
MG724915.1,Cedrela odorata,CDS,71393,71747,354,-1,1
MG724915.1,Cedrela odorata,CDS,72496,101465,28969,-1,1
MG724915.1,Cedrela odorata,CDS,72496,144273,71777,1,1
MG724915.1,Cedrela odorata,CDS,72773,74855,2082,-1,1
